intent_name,training_phrases,trained_responses,quick_replies,input_context,output_context,webhook_enabled,parameters,prompts,entity_phrases,events
en.ask.cyanosis,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-CYANOSIS
en.ask.dizzy,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-DIZZY
en.ask.dysphasia,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-DYSPHASIA
en.ask.dyspnea,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-DYSPNEA
en.ask.faint,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-FAINT
en.ask.fatigue,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-FATIGUE
en.ask.fever,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-FEVER
en.ask.headaches,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-HEADACHES
en.ask.heartburn,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-HEARTBURN
en.ask.hoarseness,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-HOARSENESS
en.ask.legs_swell,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-LEGS_SWELL
en.ask.mouth_pain,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-MOUTH_PAIN
en.ask.muscle_pain,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-MUSCLE_PAIN
en.ask.nausea,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-NAUSEA
en.ask.neck_shoulder_pain,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-NECK_SHOULDER_PAIN
en.ask.neck_swell,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-NECK_SWELL
en.ask.neck_tight,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-NECK_TIGHT
en.ask.pale_sweat,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-PALE_SWEAT
en.ask.phlegm_clear,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-PHLEGM_CLEAR
en.ask.phlegm_green,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-PHLEGM_GREEN
en.ask.phlegm_red,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-PHLEGM_RED
en.ask.phlegm_white,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-PHLEGM_WHITE
en.ask.r_infections,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-R_INFECTIONS
en.ask.sleep_hard,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-SLEEP_HARD
en.ask.tachycardia,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-TACHYCARDIA
en.ask.urine_blood,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-URINE_BLOOD
en.ask.weakness,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-WEAKNESS
en.ask.weightgain,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-WEIGHTGAIN
en.ask.weightloss,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-WEIGHTLOSS
en.ask.wheeze,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-WHEEZE
